Nº Aquisição Horário     Data        Canal 1 [°C] 
00133        9:12:01 AM  5/19/2015   24.5         
00134        9:13:01 AM  5/19/2015   24.5         
00135        9:14:01 AM  5/19/2015   24.5         
00136        9:15:01 AM  5/19/2015   24.5         
00137        9:16:01 AM  5/19/2015   24.5         
00138        9:17:01 AM  5/19/2015   24.5         
00139        9:18:01 AM  5/19/2015   24.5         
00140        9:19:01 AM  5/19/2015   24.5         
00141        9:20:01 AM  5/19/2015   24.5         
00142        9:21:01 AM  5/19/2015   24.5         
00143        9:22:01 AM  5/19/2015   24.5         
00144        9:23:01 AM  5/19/2015   24.5         
00145        9:24:01 AM  5/19/2015   24.5         
00146        9:25:01 AM  5/19/2015   24.5         
00147        9:26:01 AM  5/19/2015   24.5         
00148        9:27:01 AM  5/19/2015   24.5         
00149        9:28:01 AM  5/19/2015   24.6         
00150        9:29:01 AM  5/19/2015   24.6         
00151        9:30:01 AM  5/19/2015   24.7         
00152        9:31:01 AM  5/19/2015   24.7         
00153        9:32:01 AM  5/19/2015   24.8         
00154        9:33:01 AM  5/19/2015   24.8         
00155        9:34:01 AM  5/19/2015   24.9         
00156        9:35:01 AM  5/19/2015   24.9         
00157        9:36:01 AM  5/19/2015   24.9         
00158        9:37:01 AM  5/19/2015   25.0         
00159        9:38:01 AM  5/19/2015   25.1         
00160        9:39:01 AM  5/19/2015   25.1         
00161        9:40:01 AM  5/19/2015   25.1         
00162        9:41:01 AM  5/19/2015   25.2         
00163        9:42:01 AM  5/19/2015   25.2         
00164        9:43:01 AM  5/19/2015   25.3         
00165        9:44:01 AM  5/19/2015   25.3         
00166        9:45:01 AM  5/19/2015   25.3         
00167        9:46:01 AM  5/19/2015   25.4         
00168        9:47:01 AM  5/19/2015   25.5         
00169        9:48:01 AM  5/19/2015   25.6         
00170        9:49:01 AM  5/19/2015   25.6         
00171        9:50:01 AM  5/19/2015   25.7         
00172        9:51:01 AM  5/19/2015   25.7         
00173        9:52:01 AM  5/19/2015   25.8         
00174        9:53:01 AM  5/19/2015   25.9         
00175        9:54:01 AM  5/19/2015   25.9         
00176        9:55:01 AM  5/19/2015   26.0         
00177        9:56:01 AM  5/19/2015   26.1         
00178        9:57:01 AM  5/19/2015   26.1         
00179        9:58:01 AM  5/19/2015   26.2         
00180        9:59:01 AM  5/19/2015   26.3         
00181        10:00:01 AM 5/19/2015   26.4         
00182        10:01:01 AM 5/19/2015   26.5         
00183        10:02:01 AM 5/19/2015   26.6         
00184        10:03:01 AM 5/19/2015   26.8         
00185        10:04:01 AM 5/19/2015   27.0         
00186        10:05:01 AM 5/19/2015   27.2         
00187        10:06:01 AM 5/19/2015   27.4         
00188        10:07:01 AM 5/19/2015   27.6         
